order_id,customer_id,order_date,status,total_amount,shipping_address
ORD-00000022,CUST-00030066,2019-03-02T08:06:06,pending,1684.57,"44 Maple, IT"
ORD-00000023,CUST-00021624,2021-05-09T01:30:43,delivered,3019.98,"791 Birch, DE"
ORD-00000024,CUST-00031537,2021-11-18T02:57:56,delivered,2893.58,"845 Main, UK"
ORD-00000025,CUST-00025254,2023-06-23T16:18:21,pending,3731.77,"404 Maple, DE"
ORD-00000026,CUST-00033930,2020-03-02T15:14:57,cancelled,2449.88,"173 Maple, NO"
ORD-00000027,CUST-00046723,2020-10-25T10:51:02,shipped,2068.45,"641 Pine, IT"
ORD-00000028,CUST-00007503,2021-06-06T15:26:41,processing,3490.87,"727 Cherry, JP"
ORD-00000029,CUST-00044680,2020-08-10T17:21:56,pending,2925.42,"447 Maple, CA"
ORD-00000030,CUST-00005310,2020-07-21T13:09:58,pending,2355.76,"587 Cedar, IN"
ORD-00000031,CUST-00030898,2023-02-27T00:33:33,cancelled,4092.58,"259 Cedar, US"
ORD-00000032,CUST-00017280,2019-08-20T10:23:32,shipped,3074.29,"24 Maple, NL"
ORD-00000033,CUST-00028501,2024-06-02T00:39:43,cancelled,4403.86,"67 Elm, FR"
ORD-00000034,CUST-00011196,2023-06-30T08:57:57,pending,4991.56,"291 Willow, AU"
ORD-00000035,CUST-00001686,2021-11-19T16:24:37,shipped,4385.59,"275 Pine, US"
ORD-00000036,CUST-00012998,2019-10-31T21:16:38,delivered,3461.1,"307 Oak, ES"
ORD-00000037,CUST-00040247,2024-12-25T10:28:00,delivered,2705.15,"555 Maple, NL"
ORD-00000038,CUST-00046581,2022-08-26T04:58:59,shipped,3639.39,"463 Willow, IT"
ORD-00000039,CUST-00033948,2024-05-12T03:38:21,shipped,1054.84,"139 Pine, NL"
ORD-00000040,CUST-00004414,2024-04-28T04:26:27,pending,3326.98,"951 Spruce, JP"
ORD-00000041,CUST-00014950,2022-09-24T21:10:33,processing,2003.98,"197 Willow, SE"
ORD-00000042,CUST-00032008,2020-01-15T10:52:41,pending,2876.73,"458 Main, SE"
ORD-00000043,CUST-00011920,2019-09-10T18:12:36,shipped,2244.0,"693 Pine, NO"
ORD-00000044,CUST-00029052,2019-11-08T05:04:13,pending,1965.21,"844 Oak, AU"
ORD-00000045,CUST-00007101,2019-10-29T08:42:41,processing,3758.32,"782 Cherry, FR"
ORD-00000046,CUST-00027362,2022-01-02T00:52:47,shipped,239.0,"308 Cherry, ES"
ORD-00000047,CUST-00044556,2022-05-02T07:03:34,processing,4173.43,"385 Cedar, ES"
ORD-00000048,CUST-00020970,2024-03-26T19:18:41,processing,4500.05,"462 Spruce, DE"
ORD-00000049,CUST-00040653,2020-08-08T02:34:11,cancelled,3752.18,"417 Main, AU"
ORD-00000050,CUST-00018507,2021-04-23T21:01:12,processing,1033.78,"567 Cherry, MX"
ORD-00000051,CUST-00049199,2020-10-19T02:52:58,shipped,1771.32,"273 Birch, MX"
ORD-00000052,CUST-00045685,2022-06-25T06:42:30,processing,3079.97,"9 Spruce, NL"
ORD-00000053,CUST-00030090,2020-01-09T10:31:44,shipped,1703.06,"397 Main, US"
ORD-00000054,CUST-00016148,2023-12-05T16:04:29,delivered,4747.6,"175 Oak, DE"
ORD-00000055,CUST-00031530,2023-09-15T10:18:42,pending,806.48,"482 Spruce, JP"
ORD-00000056,CUST-00037178,2024-05-25T22:24:50,delivered,3611.93,"501 Willow, DE"
ORD-00000057,CUST-00019613,2020-08-05T22:54:48,delivered,3184.13,"811 Oak, IN"
ORD-00000058,CUST-00042497,2020-09-27T17:57:04,processing,2943.88,"11 Main, IT"
ORD-00000059,CUST-00035850,2024-03-25T16:18:32,pending,3449.43,"596 Cherry, FR"
ORD-00000060,CUST-00015100,2022-04-18T00:38:34,delivered,1270.04,"706 Maple, NO"
ORD-00000061,CUST-00026943,2024-09-06T18:07:46,processing,3446.46,"945 Maple, BR"
ORD-00000062,CUST-00020690,2024-08-14T09:37:31,processing,1182.34,"14 Pine, NO"
ORD-00000063,CUST-00035929,2021-07-06T19:13:46,pending,4732.51,"917 Main, BR"
ORD-00000064,CUST-00042695,2020-05-17T10:08:00,shipped,3725.59,"527 Willow, DE"
ORD-00000065,CUST-00015587,2024-04-23T06:41:10,cancelled,3306.71,"449 Willow, IT"
ORD-00000066,CUST-00020458,2020-01-12T20:35:01,cancelled,2966.73,"47 Oak, DE"
ORD-00000067,CUST-00031507,2019-02-07T01:14:03,processing,47.42,"6 Birch, CA"
ORD-00000068,CUST-00039563,2020-04-03T03:35:43,pending,430.53,"487 Cherry, IN"
ORD-00000069,CUST-00038828,2019-12-07T03:51:49,delivered,3956.62,"501 Oak, BR"
ORD-00000070,CUST-00048296,2020-11-09T21:56:14,processing,3088.4,"901 Maple, BR"
ORD-00000071,CUST-00037784,2019-09-04T22:34:20,processing,2775.05,"836 Main, UK"
ORD-00000072,CUST-00036812,2022-12-03T08:32:40,delivered,2968.45,"724 Oak, MX"
ORD-00000073,CUST-00003512,2019-12-09T03:46:44,delivered,2158.31,"36 Main, AU"
ORD-00000074,CUST-00030228,2021-05-18T20:18:20,processing,3032.93,"482 Oak, IN"
ORD-00000075,CUST-00011261,2023-07-03T11:16:16,pending,849.39,"223 Pine, NO"
ORD-00000076,CUST-00020885,2019-03-17T21:35:20,cancelled,1141.03,"731 Birch, BR"
ORD-00000077,CUST-00043778,2020-03-20T20:32:03,pending,1406.04,"491 Elm, IT"
ORD-00000078,CUST-00042516,2021-11-04T07:06:53,shipped,4315.75,"395 Birch, ES"
ORD-00000079,CUST-00036559,2022-10-12T20:46:27,shipped,1848.66,"729 Pine, IT"
ORD-00000080,CUST-00030980,2021-08-23T08:09:11,processing,4540.61,"882 Oak, NO"
ORD-00000081,CUST-00015313,2020-05-15T22:55:27,shipped,1672.47,"785 Spruce, NO"
ORD-00000082,CUST-00014613,2019-11-04T13:38:36,delivered,4136.96,"365 Willow, CA"
ORD-00000083,CUST-00008518,2024-12-23T02:58:05,processing,744.39,"632 Pine, SE"
ORD-00000084,CUST-00045066,2021-06-19T19:16:34,pending,4144.7,"719 Elm, US"
ORD-00000085,CUST-00040069,2019-03-10T09:24:51,pending,2577.84,"135 Cedar, AU"
ORD-00000086,CUST-00047970,2022-01-15T22:48:51,delivered,3730.54,"733 Pine, BR"
ORD-00000087,CUST-00000600,2023-02-23T02:29:19,pending,1051.68,"922 Pine, UK"
ORD-00000088,CUST-00029336,2020-03-16T19:17:24,processing,513.14,"625 Cherry, BR"
ORD-00000089,CUST-00032860,2024-03-07T08:25:17,shipped,4787.63,"348 Cedar, CA"
ORD-00000090,CUST-00024547,2021-01-02T23:57:48,shipped,696.74,"423 Birch, MX"
ORD-00000091,CUST-00048328,2022-05-07T15:54:10,shipped,2389.74,"175 Elm, FR"
ORD-00000092,CUST-00008904,2024-01-21T15:17:53,delivered,3895.22,"749 Elm, IT"
ORD-00000093,CUST-00006524,2023-09-15T02:26:29,processing,1725.15,"654 Oak, DE"
ORD-00000094,CUST-00003354,2020-04-21T05:38:39,pending,90.19,"130 Willow, ES"
ORD-00000095,CUST-00004621,2022-03-31T02:46:24,shipped,2504.19,"995 Maple, BR"
ORD-00000096,CUST-00049379,2024-04-27T20:44:13,pending,4570.2,"321 Spruce, FR"
ORD-00000097,CUST-00016258,2022-09-10T15:20:16,delivered,4402.1,"522 Willow, UK"
ORD-00000098,CUST-00004285,2020-07-12T16:21:27,delivered,828.47,"954 Cherry, IN"
ORD-00000099,CUST-00037644,2024-11-21T06:37:23,shipped,4785.54,"121 Pine, JP"
ORD-00000100,CUST-00011605,2023-09-27T12:32:36,delivered,2821.9,"464 Spruce, FR"
ORD-00000101,CUST-00021745,2022-08-22T04:53:11,cancelled,3862.89,"615 Cedar, JP"
ORD-00000102,CUST-00031306,2019-04-05T22:37:08,pending,681.58,"234 Cherry, CA"
ORD-00000103,CUST-00032833,2024-10-07T23:56:00,pending,154.23,"871 Oak, AU"
ORD-00000104,CUST-00033777,2021-03-17T21:41:53,pending,2975.7,"870 Main, FR"
ORD-00000105,CUST-00019474,2020-10-19T01:55:41,pending,4236.67,"771 Main, FR"
ORD-00000106,CUST-00023222,2020-03-04T19:36:42,processing,2740.05,"318 Cedar, IN"
ORD-00000107,CUST-00043433,2022-12-30T20:54:18,cancelled,3452.33,"268 Oak, SE"
ORD-00000108,CUST-00047333,2021-11-03T21:53:26,processing,4347.19,"206 Oak, JP"
ORD-00000109,CUST-00047396,2023-03-13T18:00:51,pending,170.27,"770 Cherry, MX"
ORD-00000110,CUST-00011974,2021-01-18T21:31:55,pending,3415.1,"327 Pine, ES"
ORD-00000111,CUST-00012716,2023-08-15T05:11:44,delivered,1942.29,"354 Cedar, BR"
ORD-00000112,CUST-00013335,2022-08-08T13:24:29,processing,615.79,"427 Willow, IT"
ORD-00000113,CUST-00028642,2021-04-05T01:32:00,cancelled,1681.57,"58 Cherry, CA"
ORD-00000114,CUST-00036494,2021-04-18T04:30:44,cancelled,2614.2,"993 Elm, MX"
ORD-00000115,CUST-00006655,2023-05-01T16:38:56,shipped,4164.46,"188 Elm, CA"
ORD-00000116,CUST-00045522,2022-04-05T14:20:06,shipped,4029.29,"629 Maple, MX"
ORD-00000117,CUST-00004494,2020-06-11T20:00:26,delivered,667.57,"973 Birch, AU"
ORD-00000118,CUST-00040378,2019-03-20T13:03:59,pending,4610.65,"216 Oak, MX"
ORD-00000119,CUST-00034693,2021-08-31T04:16:31,processing,1455.6,"629 Main, BR"
ORD-00000120,CUST-00009200,2024-03-18T02:09:25,cancelled,4668.22,"500 Elm, ES"
ORD-00000121,CUST-00005331,2019-04-27T20:25:04,shipped,3808.3,"139 Pine, AU"
ORD-00000122,CUST-00032599,2024-05-03T04:01:25,delivered,636.71,"509 Spruce, DE"
ORD-00000123,CUST-00011467,2024-02-22T21:02:12,cancelled,3126.17,"739 Cherry, CA"
ORD-00000124,CUST-00011154,2022-01-22T13:06:08,shipped,2201.78,"295 Willow, IT"
ORD-00000125,CUST-00001978,2022-07-19T18:24:57,shipped,4524.59,"116 Maple, FR"
ORD-00000126,CUST-00013682,2021-08-27T10:01:28,pending,1455.86,"353 Elm, AU"
ORD-00000127,CUST-00020310,2020-12-18T12:08:29,cancelled,1398.55,"342 Maple, ES"
ORD-00000128,CUST-00036318,2024-03-30T15:27:26,shipped,3160.98,"476 Willow, ES"
ORD-00000129,CUST-00003694,2022-04-12T13:00:13,processing,4692.97,"540 Birch, NL"
ORD-00000130,CUST-00024053,2023-01-13T07:25:52,processing,45.57,"404 Willow, NO"
ORD-00000131,CUST-00045634,2020-11-07T11:28:31,pending,4184.07,"307 Pine, NO"
ORD-00000132,CUST-00047133,2020-06-01T13:34:50,delivered,4508.62,"985 Elm, JP"
ORD-00000133,CUST-00014957,2021-08-06T07:10:06,pending,4940.87,"122 Pine, CA"
ORD-00000134,CUST-00025094,2020-07-21T06:37:29,processing,4766.08,"661 Oak, US"
ORD-00000135,CUST-00010993,2021-03-03T15:34:29,processing,1446.44,"832 Oak, DE"
ORD-00000136,CUST-00016728,2021-12-30T07:30:38,pending,2668.02,"103 Willow, ES"
ORD-00000137,CUST-00007934,2022-02-09T15:46:38,shipped,3958.13,"530 Birch, CA"
ORD-00000138,CUST-00049428,2019-05-07T13:51:57,delivered,4718.44,"649 Spruce, IN"
ORD-00000139,CUST-00023349,2024-05-02T19:48:46,pending,2164.34,"248 Cedar, ES"
ORD-00000140,CUST-00018270,2023-12-11T09:48:19,shipped,1956.77,"288 Cherry, CA"
ORD-00000141,CUST-00047732,2023-04-26T13:21:49,shipped,4480.6,"869 Birch, US"
ORD-00000142,CUST-00015788,2022-09-13T09:53:40,cancelled,649.13,"350 Cherry, SE"
ORD-00000143,CUST-00000609,2021-08-10T08:27:24,pending,4597.39,"758 Cherry, FR"
ORD-00000144,CUST-00016950,2020-04-03T07:09:58,cancelled,4232.49,"548 Willow, NL"
ORD-00000145,CUST-00021464,2021-02-20T03:06:31,shipped,1305.58,"688 Cherry, BR"
ORD-00000146,CUST-00005274,2020-06-14T21:46:29,processing,342.46,"416 Main, CA"
ORD-00000147,CUST-00033359,2024-09-23T11:27:18,shipped,2592.1,"869 Cherry, NO"
ORD-00000148,CUST-00027017,2022-01-17T20:50:23,pending,2689.21,"59 Main, NL"
ORD-00000149,CUST-00036672,2020-10-07T21:44:33,shipped,3013.68,"721 Cherry, CA"
ORD-00000150,CUST-00041678,2020-12-07T17:35:59,delivered,576.69,"22 Elm, NL"
ORD-00000151,CUST-00001216,2024-03-28T03:50:12,cancelled,2248.52,"652 Spruce, DE"
ORD-00000152,CUST-00004663,2020-01-12T23:59:51,cancelled,2195.22,"823 Main, US"
ORD-00000153,CUST-00015955,2020-07-11T18:18:45,delivered,218.17,"104 Elm, IT"
ORD-00000154,CUST-00038559,2019-10-06T07:21:00,pending,1738.44,"376 Maple, ES"
ORD-00000155,CUST-00046504,2022-10-05T09:46:59,pending,3733.48,"988 Elm, IN"
ORD-00000156,CUST-00026836,2020-08-02T12:14:58,cancelled,938.84,"244 Pine, DE"
ORD-00000157,CUST-00034374,2024-04-18T08:49:09,pending,2492.74,"655 Elm, CA"
ORD-00000158,CUST-00014035,2022-04-11T22:51:47,shipped,2137.61,"854 Spruce, MX"
ORD-00000159,CUST-00046057,2022-01-29T11:09:07,shipped,3448.27,"671 Spruce, NO"
ORD-00000160,CUST-00007586,2024-04-28T09:27:20,delivered,1275.29,"312 Pine, IN"
ORD-00000161,CUST-00024305,2021-10-16T21:02:52,shipped,2037.09,"772 Maple, FR"
ORD-00000162,CUST-00033910,2022-09-09T03:50:32,pending,1169.02,"807 Elm, UK"
ORD-00000163,CUST-00013678,2020-02-21T14:40:40,processing,2539.57,"959 Birch, CA"
ORD-00000164,CUST-00031491,2019-01-26T12:08:38,delivered,1926.81,"53 Maple, NO"
ORD-00000165,CUST-00035580,2021-02-03T00:22:47,cancelled,2763.03,"604 Cedar, MX"
ORD-00000166,CUST-00049873,2019-05-11T12:23:35,cancelled,257.19,"106 Maple, NO"
ORD-00000167,CUST-00004914,2019-06-15T12:20:12,shipped,3976.1,"517 Willow, US"
ORD-00000168,CUST-00005336,2023-06-21T14:35:58,pending,1546.84,"600 Birch, BR"
ORD-00000169,CUST-00028716,2021-01-09T06:17:49,processing,4903.58,"638 Pine, CA"
ORD-00000170,CUST-00045233,2022-03-24T03:50:49,shipped,3525.65,"140 Elm, BR"
ORD-00000171,CUST-00027801,2023-11-12T03:37:25,shipped,26.69,"234 Oak, UK"
ORD-00000172,CUST-00039300,2020-04-25T03:36:27,delivered,3127.47,"483 Maple, FR"
ORD-00000173,CUST-00028578,2022-12-04T04:00:30,pending,2711.56,"84 Spruce, US"
ORD-00000174,CUST-00032182,2019-05-15T12:55:57,delivered,3368.52,"73 Willow, FR"
ORD-00000175,CUST-00047842,2019-07-12T12:03:58,shipped,4743.16,"134 Willow, BR"
ORD-00000176,CUST-00013202,2021-11-23T15:50:37,delivered,1453.31,"945 Maple, NL"
ORD-00000177,CUST-00015276,2020-01-16T19:01:01,processing,3525.23,"362 Main, IN"
ORD-00000178,CUST-00043285,2020-09-25T00:06:22,shipped,1144.74,"648 Cherry, MX"
ORD-00000179,CUST-00026358,2021-11-25T00:14:46,cancelled,4757.73,"904 Maple, DE"
ORD-00000180,CUST-00004053,2020-03-25T17:35:45,delivered,1275.27,"337 Maple, NO"
ORD-00000181,CUST-00027814,2022-06-20T01:30:31,cancelled,2419.35,"546 Cherry, IT"
ORD-00000182,CUST-00035685,2021-06-03T11:32:57,processing,4231.78,"587 Elm, FR"
ORD-00000183,CUST-00004098,2020-07-23T15:01:19,pending,3699.47,"689 Cedar, CA"
ORD-00000184,CUST-00034796,2024-08-13T04:06:37,pending,3838.82,"549 Cedar, DE"
ORD-00000185,CUST-00040945,2024-11-07T16:34:11,cancelled,1999.63,"826 Oak, UK"
ORD-00000186,CUST-00049855,2024-07-09T01:57:43,cancelled,2554.19,"833 Oak, MX"
ORD-00000187,CUST-00025030,2023-10-14T02:15:55,pending,3673.94,"748 Pine, CA"
ORD-00000188,CUST-00044874,2020-09-20T23:57:32,pending,3466.41,"290 Elm, MX"
ORD-00000189,CUST-00021580,2021-01-29T20:08:08,cancelled,1301.79,"808 Main, NO"
ORD-00000190,CUST-00049050,2020-05-03T04:20:25,delivered,216.45,"472 Cherry, SE"
ORD-00000191,CUST-00014693,2023-08-26T00:28:27,pending,4315.32,"948 Oak, SE"
ORD-00000192,CUST-00014141,2019-07-10T10:24:55,processing,1497.39,"115 Main, NL"
ORD-00000193,CUST-00020413,2024-05-17T08:20:45,processing,3932.97,"850 Cedar, IN"
ORD-00000194,CUST-00004644,2020-08-25T13:25:22,shipped,4259.08,"526 Cedar, NO"
ORD-00000195,CUST-00008455,2022-07-21T20:19:44,processing,3531.66,"644 Birch, AU"
ORD-00000196,CUST-00043464,2024-03-11T21:21:50,shipped,1094.24,"390 Willow, BR"
ORD-00000197,CUST-00011200,2022-04-16T20:01:56,pending,529.88,"830 Elm, BR"
ORD-00000198,CUST-00022970,2020-08-11T23:38:17,shipped,259.9,"420 Spruce, DE"
ORD-00000199,CUST-00009746,2023-08-11T18:50:14,shipped,4329.3,"876 Pine, SE"
ORD-00000200,CUST-00049370,2019-03-23T00:11:42,cancelled,4366.3,"169 Cherry, MX"
ORD-00000201,CUST-00040048,2022-02-27T14:36:52,cancelled,1725.54,"265 Cedar, DE"
ORD-00000202,CUST-00026854,2023-12-08T00:20:22,cancelled,3107.27,"591 Cedar, NO"
ORD-00000203,CUST-00042815,2024-12-23T12:23:07,shipped,1200.2,"874 Willow, SE"
ORD-00000204,CUST-00026384,2022-09-08T16:18:37,processing,4896.78,"225 Pine, MX"
ORD-00000205,CUST-00015906,2020-07-25T05:37:47,pending,1363.04,"170 Pine, ES"
ORD-00000206,CUST-00011196,2020-05-14T20:11:40,cancelled,2056.9,"48 Cedar, BR"
ORD-00000207,CUST-00042656,2022-12-20T23:12:44,cancelled,4173.58,"649 Spruce, NO"
ORD-00000208,CUST-00035225,2023-07-24T11:17:21,delivered,1016.42,"990 Pine, IN"
ORD-00000209,CUST-00007050,2019-03-19T00:09:52,shipped,4614.67,"954 Willow, US"
ORD-00000210,CUST-00013687,2024-08-14T09:23:37,processing,4298.38,"704 Cherry, AU"
ORD-00000211,CUST-00018538,2024-03-13T21:42:14,shipped,1999.86,"335 Elm, UK"
ORD-00000212,CUST-00010292,2019-02-12T00:42:31,shipped,1123.19,"941 Spruce, MX"
ORD-00000213,CUST-00039669,2020-01-22T04:08:17,shipped,4537.62,"409 Cherry, US"
ORD-00000214,CUST-00013359,2023-02-20T21:24:15,pending,1297.43,"222 Cedar, MX"
ORD-00000215,CUST-00019419,2020-08-05T17:28:12,cancelled,4288.39,"536 Cherry, DE"
ORD-00000216,CUST-00012621,2023-07-31T17:00:30,cancelled,4899.69,"408 Oak, SE"
ORD-00000217,CUST-00024874,2021-10-26T15:49:01,shipped,4039.94,"431 Maple, FR"
ORD-00000218,CUST-00021886,2023-07-05T15:27:45,shipped,826.45,"526 Elm, UK"
ORD-00000219,CUST-00018866,2022-12-15T06:01:29,pending,1826.53,"451 Birch, FR"
ORD-00000220,CUST-00008820,2019-08-14T04:21:46,delivered,3517.83,"153 Elm, SE"
ORD-00000221,CUST-00004954,2019-04-24T21:13:52,pending,3164.45,"738 Willow, ES"
ORD-00000222,CUST-00019661,2022-10-23T13:14:08,delivered,4891.85,"837 Oak, CA"
ORD-00000223,CUST-00035870,2024-12-10T10:19:32,processing,2296.33,"95 Spruce, IT"
ORD-00000224,CUST-00029216,2023-06-01T08:02:22,cancelled,1608.74,"263 Elm, UK"
ORD-00000225,CUST-00023700,2022-01-02T06:30:33,shipped,1956.6,"655 Elm, BR"
ORD-00000226,CUST-00015151,2024-11-07T19:49:39,shipped,2898.71,"673 Willow, US"
ORD-00000227,CUST-00022184,2022-10-01T08:29:40,processing,2882.3,"533 Cedar, BR"
ORD-00000228,CUST-00036941,2021-11-25T20:16:37,pending,3588.0,"342 Elm, MX"
ORD-00000229,CUST-00031478,2024-08-26T20:45:45,pending,292.03,"984 Maple, JP"
ORD-00000230,CUST-00009933,2019-10-12T06:24:26,delivered,3805.69,"502 Oak, IN"
ORD-00000231,CUST-00049736,2022-05-16T10:32:59,shipped,145.37,"987 Maple, US"
ORD-00000232,CUST-00017802,2023-01-05T02:42:39,processing,558.95,"474 Cherry, UK"
ORD-00000233,CUST-00042883,2023-12-03T06:38:25,cancelled,2285.26,"157 Cedar, DE"
ORD-00000234,CUST-00032029,2024-08-17T23:14:38,pending,2338.67,"200 Elm, FR"
ORD-00000235,CUST-00001304,2020-06-15T03:09:14,shipped,1756.51,"237 Cherry, NO"
ORD-00000236,CUST-00039361,2022-02-07T05:29:52,cancelled,1649.2,"164 Willow, FR"
ORD-00000237,CUST-00010673,2022-08-02T12:23:26,pending,2283.13,"901 Cedar, MX"
ORD-00000238,CUST-00009201,2024-06-14T07:22:19,delivered,2956.03,"96 Cherry, BR"
ORD-00000239,CUST-00000436,2024-09-12T19:54:29,processing,995.49,"994 Main, IT"
ORD-00000240,CUST-00019070,2024-06-24T17:53:51,processing,2602.64,"421 Cedar, NO"
ORD-00000241,CUST-00038876,2020-01-20T05:45:23,cancelled,684.43,"206 Birch, ES"
ORD-00000242,CUST-00004060,2022-09-02T18:24:35,delivered,2867.96,"824 Spruce, NO"
ORD-00000243,CUST-00006148,2020-11-02T02:04:25,shipped,1047.01,"787 Spruce, AU"
ORD-00000244,CUST-00002435,2021-07-05T09:40:36,pending,1217.84,"348 Spruce, BR"
ORD-00000245,CUST-00028465,2019-08-23T10:48:32,shipped,75.81,"564 Birch, JP"
ORD-00000246,CUST-00039456,2020-09-03T11:49:21,delivered,3727.81,"770 Oak, JP"
ORD-00000247,CUST-00030843,2019-10-05T18:04:11,delivered,2931.69,"320 Cedar, DE"
ORD-00000248,CUST-00031618,2019-11-23T19:23:40,cancelled,2320.59,"402 Elm, FR"
ORD-00000249,CUST-00047925,2023-08-16T15:48:04,delivered,162.84,"843 Cherry, NL"
ORD-00000250,CUST-00000066,2021-07-01T01:22:00,pending,4087.77,"92 Oak, AU"
ORD-00000251,CUST-00031739,2023-02-12T22:41:14,pending,2548.45,"619 Spruce, CA"
ORD-00000252,CUST-00014910,2020-12-09T11:48:21,shipped,4758.47,"719 Cherry, US"
ORD-00000253,CUST-00043088,2021-02-11T08:26:46,cancelled,3601.85,"19 Main, NO"
ORD-00000254,CUST-00023768,2024-03-15T15:25:56,cancelled,433.71,"991 Cherry, BR"
ORD-00000255,CUST-00034355,2019-09-05T17:12:55,delivered,3519.28,"706 Main, NL"
ORD-00000256,CUST-00008982,2023-08-02T08:29:07,processing,1914.4,"202 Elm, NL"
ORD-00000257,CUST-00032366,2022-04-11T17:06:20,pending,1034.07,"11 Main, NL"
ORD-00000258,CUST-00034964,2021-06-11T10:42:54,processing,758.04,"295 Elm, JP"
ORD-00000259,CUST-00039042,2019-01-08T11:51:37,pending,1639.75,"559 Cherry, JP"
ORD-00000260,CUST-00037017,2021-07-01T15:56:24,delivered,3562.7,"276 Pine, SE"
ORD-00000261,CUST-00016750,2021-10-28T07:31:21,delivered,1810.45,"60 Main, CA"
ORD-00000262,CUST-00035744,2024-07-27T02:57:42,cancelled,820.69,"456 Cherry, IN"
ORD-00000263,CUST-00016331,2022-06-28T14:13:41,pending,2356.63,"435 Elm, JP"
ORD-00000264,CUST-00002749,2020-12-26T02:47:36,cancelled,1631.48,"40 Spruce, NO"
ORD-00000265,CUST-00040874,2019-08-02T21:11:12,cancelled,4032.85,"969 Cherry, NO"
ORD-00000266,CUST-00046176,2023-11-07T08:43:31,shipped,3253.65,"441 Willow, AU"
ORD-00000267,CUST-00011444,2020-03-10T10:32:09,cancelled,691.0,"692 Elm, ES"
ORD-00000268,CUST-00009630,2022-01-21T16:40:35,delivered,2772.0,"826 Cedar, BR"
ORD-00000269,CUST-00013442,2022-12-29T09:28:22,pending,3534.59,"208 Oak, FR"
ORD-00000270,CUST-00012076,2023-03-20T19:33:41,processing,3521.15,"569 Cedar, BR"
ORD-00000271,CUST-00043837,2022-01-21T09:31:10,cancelled,4154.15,"348 Elm, FR"
ORD-00000272,CUST-00017232,2024-07-31T01:52:04,processing,2080.38,"622 Pine, DE"
ORD-00000273,CUST-00015854,2021-11-17T07:38:57,processing,215.83,"521 Willow, JP"
ORD-00000274,CUST-00039931,2022-02-16T10:50:42,cancelled,4384.47,"880 Birch, BR"
ORD-00000275,CUST-00034370,2020-09-16T18:43:17,shipped,3338.15,"533 Spruce, BR"
ORD-00000276,CUST-00003376,2020-06-05T16:06:29,cancelled,1824.35,"695 Cedar, DE"
ORD-00000277,CUST-00041152,2020-08-08T03:55:27,delivered,2539.31,"838 Willow, UK"
ORD-00000278,CUST-00036463,2024-08-19T05:59:49,delivered,1266.25,"40 Cedar, ES"
ORD-00000279,CUST-00039172,2023-06-13T03:38:57,pending,1206.59,"500 Cedar, BR"
ORD-00000280,CUST-00013526,2023-08-18T09:05:58,pending,3552.39,"69 Cedar, US"
ORD-00000281,CUST-00037552,2021-02-17T19:00:02,shipped,271.0,"235 Maple, JP"
ORD-00000282,CUST-00031274,2024-04-23T23:23:35,shipped,4310.42,"226 Cedar, IN"
ORD-00000283,CUST-00042648,2024-06-25T10:41:15,cancelled,1038.92,"818 Cherry, BR"
ORD-00000284,CUST-00012144,2023-06-13T05:04:40,pending,4057.89,"590 Spruce, NL"
ORD-00000285,CUST-00047677,2020-12-04T15:21:30,cancelled,241.6,"128 Cedar, CA"
